data,datas,label
10,마침내 왜구와 헤어질 결심…,2022.07.27
10,조선이 그렇게 만만합니까?,2022.07.27
9,이렇게 짜릿한 승리의 기록을 영화로 두고두고 남기지 않을 이유가 있을까 전략의 힘도 있지만 배 안에서 노를 젓던 민초들의 땀방울을 기억하라,2022.07.27
10,이건 무조건 극장에서 봐야함,2022.07.27
10,"하늘엔 탑건, 바다엔 한산. 웅장함과 벅찬 감동은 덤이네요. 부모님과 한 번 더 봐야겠네요.",2022.07.27
10,일본 사람들은 이 재미를 알까,2022.07.27
10,"박해일이 연기한 이순신 감명 깊었습니다,, 거북선 등장할 때 소름!",2022.07.27
10,후반을 위한 빌드업이 흥미진진했고 전투씬 자체만으로 극장에서 볼 가치는 충분,2022.07.27
10,진짜 이 영화에 얼마나 정성을 쏟았는지 그 노력에 박수를 쳐주고 싶다. N차각,2022.07.27
10,"욜라 재밌네, 학익직은 무조건 큰 스크린에서 봐야되네 무조건이다 !!",2022.07.27
10,장군님!! 늦었지만 이제라도 5만원권으로 들어가시옵소서,2022.07.27
10,뭐야. 장이수 조선족이라더니 진짜 조선에서 온거 였냐고..,2022.07.27
10,나 애국자였네 거북선은 진짜 한국인의 자랑인듯,2022.07.27
10,국뽕이 차오르다못해 치사량수준입니다 ㅋㅋ이순시장군님 만세!!,2022.07.27
9,"명량에 비해 군더더기 뺀 전쟁영화.여름영화시장의 승리자가 될게 확실하다.인물들은 건조하게, 전쟁씬은 묵직하게 보여줄것만 보여준다. 불필요한 감동유발장면이 없다. 첩보전같이 보여주는 초반부는 취향따라 갈텐데 스피디한 ...",2022.07.27
10,"대통령은 아베 조문을 가고, 조선총독 관저를 복원하려 하는 이시대에 이순신의 영화는 경종을 울린다",2022.07.27
10,바다위의성....! 발포하라..! 선회하라..!가 머릿속을 맴돈다,2022.07.27
10,"이순신 장군님과 거북선, 학익진 말해 모해….. 후반부 해전씬은 진짜 우리나라 영화상 역대급 스케일과 퀄리티로 나왔다ㅠㅠ 이건 무조건 포맷별로 N차각ㅠㅠ",2022.07.27
10,1편에 비견할만하다. 충분히 영화관에서 돈주고 볼만하다.개인적으로 1편보다 낫다.,2022.07.27
10,이순신은 국뽕이 아니라 더 과대평가해도 모자랍니다 국뽕거리는 사람 역사공부좀 하시길,2022.07.27
9,거북선 등장장면에서 울컥했다... 순간 정적.. 그 후 휘몰아치는 그장면 정말 인상적이다.,2022.07.27
10,진짜 국뽕… 오지게 취해서 갑니다..진짜… 그냥 보는동안 입 벌리고 봄…진짜… 이순신 장군님이 있었기에 지금에 우리가 있다고 생각합니다… 대한민국 짱….♡,2022.07.27
10,"적군에 삼한제일검 땅새가 있었긴해도 아군에 최종병기활에 동방쌍룡24수 홍대홍, 하얼빈 장이수까지 있는데 당연 이기는거 아님??",2022.07.27
8,박해일 마침내 천만... 천만이 될 조짐이 보임.,2022.07.27
10,거북선 나오는데 그 아우라가!!!! 대한민국 국민이라면 영화를 보는 내내 어깨뽕 장착 가능! 진짜 멋짐 그자체!!,2022.07.27
