스크린수	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
4	4	676	8,113,300	597	8,113,300	597
4	4	676	8,639,200	638	16,752,500	1,235
2	4	704	11,106,700	885	27,859,200	2,120
4	7	1,055	8,322,300	713	36,181,500	2,833
641	1,580	190,017	421,481,470	41,215	457,662,970	44,048
603	1,441	168,802	247,561,690	24,141	705,224,660	68,189
636	1,479	172,926	295,240,300	27,479	1,000,464,960	95,668
746	1,828	213,510	623,704,900	60,228	1,624,169,860	155,896
758	1,830	215,861	630,718,060	60,847	2,254,887,920	216,743
617	1,452	172,055	190,469,140	18,491	2,445,357,060	235,234
623	1,463	172,235	250,318,806	24,580	2,695,675,866	259,814
272	376	43,275	123,552,800	12,078	2,819,228,666	271,892
359	506	61,174	122,386,458	12,063	2,941,615,124	283,955
406	624	75,874	205,691,559	19,475	3,147,306,683	303,430
407	638	73,928	229,622,086	21,617	3,376,928,769	325,047
406	650	75,593	232,598,528	21,946	3,609,527,297	346,993
364	608	71,900	110,788,639	10,915	3,720,315,936	357,908
373	613	72,954	115,550,968	11,509	3,835,866,904	369,417
167	242	28,664	60,767,379	6,725	3,896,634,283	376,142
163	226	25,401	56,323,370	5,498	3,952,957,653	381,640
