스크린수	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
1	1	624	10,608,000	624	10,608,000	624
2	2	1,086	15,316,000	1,086	25,924,000	1,710
2,143	11,001	1,765,114	4,052,893,890	382,190	4,078,817,890	383,900
2,082	10,458	1,710,726	2,113,763,200	196,521	6,192,581,090	580,421
2,044	10,418	1,708,279	2,792,271,590	251,400	8,984,852,680	831,821
1,961	10,110	1,654,947	5,702,930,050	518,621	14,687,782,730	1,350,442
1,920	9,524	1,572,639	4,539,791,580	414,217	19,227,574,310	1,764,659
1,731	8,159	1,347,389	1,116,495,660	103,050	20,344,069,970	1,867,709
1,741	7,856	1,295,518	920,276,140	85,550	21,264,346,110	1,953,259
1,300	5,058	845,817	847,322,740	80,971	22,111,668,850	2,034,230
1,260	4,837	807,759	647,616,390	61,169	22,759,285,240	2,095,399
1,257	4,874	806,076	922,846,060	84,112	23,682,131,300	2,179,511
1,210	4,895	797,370	1,931,007,560	173,456	25,613,138,860	2,352,967
1,183	4,692	761,589	1,553,987,040	140,856	27,167,125,900	2,493,823
1,110	4,156	673,873	439,392,590	42,311	27,606,518,490	2,536,134
1,124	4,106	660,956	407,603,700	38,827	28,014,122,190	2,574,961
604	1,045	119,111	165,754,040	16,401	28,179,876,230	2,591,362
604	1,037	119,103	147,173,494	14,458	28,327,049,724	2,605,820
612	1,028	121,075	181,266,598	16,938	28,508,316,322	2,622,758
597	928	107,834	313,983,856	28,709	28,822,300,178	2,651,467
595	914	105,199	284,833,134	26,261	29,107,133,312	2,677,728
548	893	105,126	110,762,888	10,723	29,217,896,200	2,688,451
566	918	107,696	112,977,098	10,931	29,330,873,298	2,699,382
54	71	7,862	19,469,099	2,620	29,350,342,397	2,702,002
43	55	6,173	16,352,899	1,427	29,366,695,296	2,703,429
