스크린수	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
83	155	20,057	21,260,100	2,135	21,260,100	2,135
71	121	14,922	8,428,300	746	29,688,400	2,881
77	113	13,239	9,311,820	903	39,000,220	3,784
74	107	12,300	6,502,660	645	45,502,880	4,429
55	80	9,657	3,777,570	329	49,280,450	4,758
60	81	9,448	3,455,300	333	52,735,750	5,091
34	41	4,477	1,272,300	127	54,008,050	5,218
43	57	6,916	17,059,630	1,628	71,067,680	6,846
38	49	5,549	4,512,660	423	75,580,340	7,269
38	47	5,449	6,959,060	663	82,539,400	7,932
37	41	4,677	4,821,500	453	87,360,900	8,385
30	35	4,318	1,553,000	146	88,913,900	8,531
31	34	4,174	1,683,400	169	90,597,300	8,700
19	20	2,656	797,800	83	91,395,100	8,783
28	34	4,551	12,725,560	1,272	104,120,660	10,055
24	28	3,521	3,564,400	334	107,685,060	10,389
25	26	3,588	4,732,000	462	112,417,060	10,851
24	26	3,182	3,230,000	309	115,647,060	11,160
20	21	2,616	1,197,600	122	116,844,660	11,282
20	24	2,783	1,395,500	132	118,240,160	11,414
13	13	1,657	894,700	92	119,134,860	11,506
19	27	3,609	5,119,760	505	124,254,620	12,011
17	18	2,325	1,659,300	172	125,913,920	12,183
18	18	2,463	1,818,900	178	127,732,820	12,361
13	13	1,770	903,200	96	128,636,020	12,457
14	14	1,784	659,300	70	129,295,320	12,527
12	12	1,534	603,600	66	129,898,920	12,593
10	10	1,133	427,400	43	130,326,320	12,636
14	24	3,006	22,418,740	2,253	152,745,060	14,889
