스크린수	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
14	23	5,712	51,374,000	5,706	51,374,000	5,706
2	2	618	5,552,000	616	56,926,000	6,322
16	17	3,831	32,616,000	3,624	89,542,000	9,946
1	1	279	3,225,000	271	92,767,000	10,217
1,374	5,512	835,334	943,860,670	114,589	1,036,627,670	124,806
1,318	5,186	788,513	609,048,570	63,121	1,645,676,240	187,927
1,265	5,032	759,508	788,079,010	76,354	2,433,755,250	264,281
1,165	4,466	667,391	1,385,316,180	132,535	3,819,071,430	396,816
1,119	4,187	625,070	1,155,013,740	111,272	4,974,085,170	508,088
1,066	4,051	608,104	494,716,790	49,558	5,468,801,960	557,646
1,079	4,064	611,320	557,948,840	55,868	6,026,750,800	613,514
595	1,350	151,288	336,628,140	33,570	6,363,378,940	647,084
619	1,390	154,631	342,604,220	33,710	6,705,983,160	680,794
654	1,472	166,219	471,953,140	43,823	7,177,936,300	724,617
742	1,598	187,204	893,376,640	81,522	8,071,312,940	806,139
751	1,626	189,885	853,725,820	79,032	8,925,038,760	885,171
677	1,763	207,096	430,485,110	41,861	9,355,523,870	927,032
720	1,815	213,868	437,078,190	42,230	9,792,602,060	969,262
723	1,520	190,242	343,059,200	34,876	10,135,661,260	1,004,138
758	1,620	203,070	372,682,510	35,782	10,508,343,770	1,039,920
806	1,790	222,932	525,001,430	47,915	11,033,345,200	1,087,835
874	2,074	266,407	900,263,000	82,265	11,933,608,200	1,170,100
848	2,058	264,269	841,128,830	77,043	12,774,737,030	1,247,143
855	2,129	280,676	373,457,240	35,928	13,148,194,270	1,283,071
864	2,156	283,692	384,746,950	37,298	13,532,941,220	1,320,369
494	867	102,183	218,398,688	21,092	13,751,339,908	1,341,461
642	1,068	130,772	256,436,916	24,710	14,007,776,824	1,366,171
647	1,140	139,449	347,943,058	31,656	14,355,719,882	1,397,827
654	1,212	151,172	587,614,603	53,056	14,943,334,485	1,450,883
664	1,210	151,602	556,555,056	50,467	15,499,889,541	1,501,350
666	1,335	166,761	283,500,303	27,435	15,783,389,844	1,528,785
672	1,371	170,681	278,395,179	27,100	16,061,785,023	1,555,885
398	671	77,438	184,887,746	22,087	16,246,672,769	1,577,972
392	658	78,066	167,059,737	15,822	16,413,732,506	1,593,794
