날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수	
2022-07-13	1,580	190,017	421,481,470	41,215	457,662,970	44,048	
2022-07-14	1,441	168,802	247,561,690	24,141	705,224,660	68,189	
2022-07-15	1,479	172,926	295,240,300	27,479	1,000,464,960	95,668	
2022-07-16	1,828	213,510	623,704,900	60,228	1,624,169,860	155,896	
2022-07-17	1,830	215,861	630,718,060	60,847	2,254,887,920	216,743	
2022-07-18	1,452	172,055	190,469,140	18,491	2,445,357,060	235,234	
2022-07-19	1,463	172,235	250,318,806	24,580	2,695,675,866	259,814	
2022-07-20	376	43,275	123,552,800	12,078	2,819,228,666	271,892	
2022-07-21	506	61,174	122,386,458	12,063	2,941,615,124	283,955	
2022-07-22	624	75,874	205,691,559	19,475	3,147,306,683	303,430	
2022-07-23	638	73,928	229,622,086	21,617	3,376,928,769	325,047	
2022-07-24	650	75,593	232,598,528	21,946	3,609,527,297	346,993	
2022-07-25	608	71,900	110,788,639	10,915	3,720,315,936	357,908	
2022-07-26	613	72,954	115,550,968	11,509	3,835,866,904	369,417	
2022-07-27	242	28,664	60,767,379	6,725	3,896,634,283	376,142	
2022-07-28	226	25,401	56,323,370	5,498	3,952,957,653	381,640	
2022-07-29	277	32,943	97,980,119	9,062	4,050,937,772	390,702	
2022-07-30	300	35,354	115,269,216	10,585	4,166,206,988	401,287	
2022-07-31	286	33,151	111,063,993	10,358	4,277,270,981	411,645	
2022-08-01	269	30,865	76,210,417	7,471	4,353,481,398	419,116	
2022-08-02	271	30,813	81,394,059	8,088	4,434,875,457	427,204	
2022-08-03	84	9,442	24,216,497	2,335	4,459,091,954	429,539	
2022-08-04	89	9,962	23,455,320	2,285	4,482,547,274	431,824	
2022-08-05	94	10,265	27,421,500	2,517	4,509,968,774	434,341	
							
