날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수	
2022-07-20	4,508	587,387	1,415,051,698	146,908	1,431,483,698	148,220	
2022-07-21	4,580	601,658	811,522,995	84,872	2,243,006,693	233,092	
2022-07-22	4,875	643,083	1,017,616,524	101,602	3,260,623,217	334,694	
2022-07-23	6,051	828,358	2,537,243,005	253,053	5,797,866,222	587,747	
2022-07-24	5,955	822,457	2,461,263,379	245,727	8,259,129,601	833,474	
2022-07-25	5,028	700,614	759,526,254	79,797	9,018,655,855	913,271	
2022-07-26	4,966	692,622	742,681,587	79,219	9,761,337,442	992,490	
2022-07-27	2,753	330,757	770,941,410	91,438	10,532,278,852	1,083,928	
2022-07-28	2,509	308,005	750,752,354	80,640	11,283,031,206	1,164,568	
2022-07-29	2,733	335,964	893,411,562	91,304	12,176,442,768	1,255,872	
2022-07-30	3,039	376,242	1,273,037,950	125,938	13,449,480,718	1,381,810	
2022-07-31	3,006	370,203	1,242,390,989	123,208	14,691,871,707	1,505,018	
2022-08-01	2,831	355,782	904,002,128	97,208	15,595,873,835	1,602,226	
2022-08-02	2,837	355,296	843,554,512	90,863	16,439,428,347	1,693,089	
2022-08-03	1,536	183,906	527,704,718	56,933	16,967,133,065	1,750,022	
2022-08-04	1,563	187,548	412,967,378	44,861	17,380,100,443	1,794,883	
2022-08-05	1,595	193,413	413,915,957	43,092	17,794,016,400	1,837,975	
