날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2022-07-20	8,507	1,383,016	1,606,975,118	158,157	1,682,670,118	165,584
2022-07-21	7,700	1,259,497	1,181,671,860	115,656	2,864,341,978	281,240
2022-07-22	7,546	1,232,591	1,410,114,101	131,531	4,274,456,079	412,771
2022-07-23	6,967	1,126,951	2,751,630,973	253,707	7,026,087,052	666,478
2022-07-24	6,661	1,070,990	2,657,431,029	246,789	9,683,518,081	913,267
2022-07-25	6,113	976,269	852,020,713	82,901	10,535,538,794	996,168
2022-07-26	5,999	963,183	732,264,286	71,696	11,267,803,080	1,067,864
2022-07-27	2,167	293,919	513,897,247	63,169	11,781,700,327	1,131,033
2022-07-28	1,969	259,746	393,086,726	39,114	12,174,787,053	1,170,147
2022-07-29	1,935	251,832	478,744,771	44,967	12,653,531,824	1,215,114
2022-07-30	1,851	243,769	796,481,323	73,678	13,450,013,147	1,288,792
2022-07-31	1,809	237,872	750,665,885	68,903	14,200,679,032	1,357,695
2022-08-01	1,798	222,242	404,644,694	40,373	14,605,323,726	1,398,068
2022-08-02	1,804	221,202	363,649,895	36,506	14,968,973,621	1,434,574
2022-08-03	589	65,053	110,505,416	10,961	15,079,479,037	1,445,535
2022-08-04	573	63,938	90,907,999	9,290	15,170,387,036	1,454,825
2022-08-05	576	64,834	113,278,760	11,557	15,283,665,796	1,466,382
