날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2022-07-27	10,631	1,686,842	3,279,668,746	386,161	3,449,890,246	401,095
2022-07-28	10,191	1,640,604	2,392,993,676	236,943	5,842,883,922	638,038
2022-07-29	10,243	1,653,408	3,378,221,252	315,487	9,221,105,174	953,525
2022-07-30	10,338	1,656,870	7,129,744,897	660,875	16,350,850,071	1,614,400
2022-07-31	10,095	1,619,729	7,043,551,621	655,701	23,394,401,692	2,270,101
2022-08-01	9,636	1,568,214	3,864,072,934	385,984	27,258,474,626	2,656,085
2022-08-02	9,659	1,573,610	3,418,297,205	340,707	30,676,771,831	2,996,792
2022-08-03	6,022	913,874	2,290,748,101	235,500	32,967,519,932	3,232,292
2022-08-04	6,037	918,581	2,034,590,528	209,349	35,002,110,460	3,441,641
2022-08-05	6,343	960,818	2,565,545,184	250,627	37,567,655,644	3,692,268
