날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수	
2022-06-22	9,158	1,508,016	1,976,049,530	188,312	2,716,938,360	253,016	
2022-06-23	8,720	1,446,643	1,546,459,190	146,105	4,263,397,550	399,121	
2022-06-24	8,948	1,487,057	2,401,575,760	216,163	6,664,973,310	615,284	
2022-06-25	8,907	1,479,025	5,192,321,350	472,306	11,857,294,660	1,087,590	
2022-06-26	8,589	1,427,305	4,789,763,620	438,673	16,647,058,280	1,526,263	
2022-06-27	7,988	1,339,714	1,654,213,940	156,222	18,301,272,220	1,682,485	
2022-06-28	7,945	1,333,389	1,554,570,540	146,873	19,855,842,760	1,829,358	
2022-06-29	5,680	932,324	1,830,630,070	208,178	21,686,472,830	2,037,536	
2022-06-30	5,775	949,682	1,537,625,670	146,232	23,224,098,500	2,183,768	
2022-07-01	6,302	1,039,165	2,514,791,670	225,696	25,738,890,170	2,409,464	
2022-07-02	7,224	1,188,247	5,294,359,740	480,280	31,033,249,910	2,889,744	
2022-07-03	7,146	1,176,149	4,795,789,500	439,248	35,829,039,410	3,328,992	
2022-07-04	6,568	1,091,432	1,657,272,790	151,680	37,486,312,200	3,480,672	
2022-07-05	6,621	1,095,423	1,840,848,870	167,795	39,327,161,070	3,648,467	
2022-07-06	3,516	462,768	1,009,403,610	100,506	40,336,564,680	3,748,973	
2022-07-07	3,805	498,478	1,023,016,240	100,355	41,359,580,920	3,849,328	
2022-07-08	4,198	550,835	1,578,819,190	148,220	42,938,400,110	3,997,548	
2022-07-09	4,922	661,712	3,572,278,360	335,573	46,510,678,470	4,333,121	
2022-07-10	5,000	673,636	3,391,502,180	320,403	49,902,180,650	4,653,524	
2022-07-11	4,869	698,569	1,028,098,520	100,606	50,930,279,170	4,754,130	
2022-07-12	4,886	701,346	918,166,360	89,811	51,848,445,530	4,843,941	
2022-07-13	5,081	800,237	972,731,260	94,448	52,821,176,790	4,938,389	
2022-07-14	5,241	830,510	969,705,220	93,103	53,790,882,010	5,031,492	
2022-07-15	5,642	891,884	1,521,006,830	139,681	55,311,888,840	5,171,173	
2022-07-16	6,271	1,003,006	3,207,904,910	295,387	58,519,793,750	5,466,560	
2022-07-17	6,153	988,805	2,885,480,880	267,268	61,405,274,630	5,733,828	
2022-07-18	5,503	907,014	977,934,330	93,954	62,383,208,960	5,827,782	
2022-07-19	5,517	908,628	1,041,245,737	100,089	63,424,454,697	5,927,871	
2022-07-20	2,222	301,343	625,668,653	61,325	64,050,123,350	5,989,196	
2022-07-21	2,485	342,301	656,455,952	64,224	64,706,579,302	6,053,420	
2022-07-22	2,775	391,639	948,453,156	88,200	65,655,032,458	6,141,620	
2022-07-23	3,276	470,094	1,965,985,873	181,301	67,621,018,331	6,322,921	
2022-07-24	3,293	479,070	1,931,101,117	178,993	69,552,119,448	6,501,914	
2022-07-25	3,221	487,767	735,155,225	71,504	70,287,274,673	6,573,418	
2022-07-26	3,254	489,846	703,597,524	68,261	70,990,872,197	6,641,679	
2022-07-27	1,831	228,692	535,916,184	63,713	71,526,788,381	6,705,392	
2022-07-28	1,836	233,644	486,427,798	47,328	72,013,216,179	6,752,720	
2022-07-29	1,984	255,681	708,958,458	65,323	72,722,174,637	6,818,043	
2022-07-30	2,045	269,101	1,305,354,304	118,988	74,027,528,941	6,937,031	
2022-07-31	2,054	269,403	1,224,941,845	112,358	75,252,470,786	7,049,389	
2022-08-01	2,038	266,619	731,085,309	71,492	75,983,556,095	7,120,881	
2022-08-02	2,072	269,288	678,742,098	66,650	76,662,298,193	7,187,531	
2022-08-03	1,117	135,642	383,003,625	36,849	77,045,301,818	7,224,380	
2022-08-04	1,149	138,671	356,193,309	34,522	77,401,495,127	7,258,902	
2022-08-05	1,238	153,487	504,483,247	46,942	77,905,978,374	7,305,844	
