날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수	
2022-07-06	11,001	1,765,114	4,052,868,890	382,188	4,078,792,890	383,898	
2022-07-07	10,458	1,710,726	2,113,763,200	196,521	6,192,556,090	580,419	
2022-07-08	10,418	1,708,279	2,792,271,590	251,400	8,984,827,680	831,819	
2022-07-09	10,110	1,654,947	5,702,930,050	518,621	14,687,757,730	1,350,440	
2022-07-10	9,524	1,572,639	4,539,791,580	414,217	19,227,549,310	1,764,657	
2022-07-11	8,159	1,347,389	1,116,495,660	103,050	20,344,044,970	1,867,707	
2022-07-12	7,856	1,295,518	920,276,140	85,550	21,264,321,110	1,953,257	
2022-07-13	5,058	845,817	847,322,740	80,971	22,111,643,850	2,034,228	
2022-07-14	4,837	807,759	647,616,390	61,169	22,759,260,240	2,095,397	
2022-07-15	4,874	806,076	922,846,060	84,112	23,682,106,300	2,179,509	
2022-07-16	4,895	797,370	1,931,007,560	173,456	25,613,113,860	2,352,965	
2022-07-17	4,692	761,589	1,553,987,040	140,856	27,167,100,900	2,493,821	
2022-07-18	4,156	673,873	439,392,590	42,311	27,606,493,490	2,536,132	
2022-07-19	4,106	660,956	407,603,700	38,827	28,014,097,190	2,574,959	
2022-07-20	1,045	119,111	165,754,040	16,401	28,179,851,230	2,591,360	
2022-07-21	1,037	119,103	147,173,494	14,458	28,327,024,724	2,605,818	
2022-07-22	1,028	121,075	181,266,598	16,938	28,508,291,322	2,622,756	
2022-07-23	928	107,834	313,977,856	28,708	28,822,269,178	2,651,464	
2022-07-24	914	105,199	284,833,134	26,261	29,107,102,312	2,677,725	
2022-07-25	893	105,126	110,762,888	10,723	29,217,865,200	2,688,448	
2022-07-26	918	107,696	112,977,098	10,931	29,330,842,298	2,699,379	
2022-07-27	71	7,862	19,469,099	2,620	29,350,311,397	2,701,999	
2022-07-28	55	6,173	16,352,899	1,427	29,366,664,296	2,703,426	
2022-07-29	60	6,255	17,855,599	1,623	29,384,519,895	2,705,049	
2022-07-30	69	7,437	29,228,469	2,549	29,413,748,364	2,707,598	
2022-07-31	68	6,949	23,716,880	2,102	29,437,465,244	2,709,700	
2022-08-01	50	5,324	12,191,860	1,081	29,449,657,104	2,710,781	
2022-08-02	51	5,369	12,040,299	1,082	29,461,697,403	2,711,863	
2022-08-03	17	1,878	4,008,420	336	29,465,705,823	2,712,199	
2022-08-04	15	1,600	3,020,600	267	29,468,726,423	2,712,466	
2022-08-05	20	2,497	6,963,400	965	29,475,689,823	2,713,431	
