날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2022-06-25	14 	1209 	3074900 	272 	62635422270 	5883231 
2022-06-26	17 	1657 	3464800 	314 	62638887070 	5883545 
2022-06-27	12 	1153 	1491500 	139 	62640378570 	5883684 
2022-06-28	13 	1279 	1756500 	171 	62642135070 	5883855 
2022-06-29	5 	438 	1203000 	187 	62643338070 	5884042 
2022-06-30	4 	298 	303000 	30 	62643641070 	5884072 
2022-07-01	4 	370 	276200 	25 	62643917270 	5884097 
2022-07-02	4 	304 	802500 	72 	62644719770 	5884169 
2022-07-03	4 	304 	480000 	43 	62645199770 	5884212 
2022-07-04	3 	222 	173000 	15 	62645372770 	5884227 
2022-07-05	2 	148 	178000 	17 	62645550770 	5884244 
2022-07-06	3 	222 	125600 	11 	62645676370 	5884255 
2022-07-07	4 	468 	1326000 	182 	62647002370 	5884437 
2022-07-08	3 	222 	253000 	20 	62647255370 	5884457 
2022-07-09	3 	222 	259000 	21 	62647514370 	5884478 
2022-07-10	3 	222 	361000 	31 	62647875370 	5884509 
2022-07-11	3 	222 	82000 	9 	62647957370 	5884518 
2022-07-12	3 	222 	121500 	10 	62648078870 	5884528 
2022-07-13	2 	148 	74000 	8 	62648152870 	5884536 
2022-07-14	1 	74 	22000 	3 	62648174870 	5884539 
2022-07-15	2 	148 	61500 	5 	62648236370 	5884544 
2022-07-16	2 	148 	125000 	11 	62648361370 	5884555 
2022-07-17	1 	74 	86000 	8 	62648447370 	5884563 
2022-07-19	1 	74 	38000 	4 	62648485370 	5884567 
2022-07-20	1 	74 	26000 	2 	62648511370 	5884569 
2022-07-21	1 	74 	42000 	4 	62648553370 	5884573 
2022-07-22	1 	74 	32000 	3 	62648585370 	5884576 
2022-07-23	1 	74 	37000 	3 	62648622370 	5884579 
2022-07-24	1 	74 	72000 	7 	62648694370 	5884586 
2022-07-25	1 	74 	29000 	3 	62648723370 	5884589 
2022-07-26	1 	74 	51500 	6 	62648774870 	5884595 
