날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2022-07-13	1580 	190017 	421481470 	41215 	457662970 	44048 
2022-07-14	1441 	168802 	247561690 	24141 	705224660 	68189 
2022-07-15	1479 	172926 	295240300 	27479 	1000464960 	95668 
2022-07-16	1828 	213510 	623704900 	60228 	1624169860 	155896 
2022-07-17	1830 	215861 	630718060 	60847 	2254887920 	216743 
2022-07-18	1452 	172055 	190469140 	18491 	2445357060 	235234 
2022-07-19	1463 	172235 	250318806 	24580 	2695675866 	259814 
2022-07-20	376 	43275 	123552800 	12078 	2819228666 	271892 
2022-07-21	506 	61174 	122386458 	12063 	2941615124 	283955 
2022-07-22	624 	75874 	205691559 	19475 	3147306683 	303430 
2022-07-23	638 	73928 	229622086 	21617 	3376928769 	325047 
2022-07-24	650 	75593 	232598528 	21946 	3609527297 	346993 
2022-07-25	608 	71900 	110788639 	10915 	3720315936 	357908 
2022-07-26	613 	72954 	115550968 	11509 	3835866904 	369417 
2022-07-27	242 	28664 	60767379 	6725 	3896634283 	376142 
2022-07-28	226 	25401 	56323370 	5498 	3952957653 	381640 
2022-07-29	277 	32943 	97980119 	9062 	4050937772 	390702 
2022-07-30	300 	35354 	115269216 	10585 	4166206988 	401287 
2022-07-31	286 	33151 	111063993 	10358 	4277270981 	411645 
2022-08-01	269 	30865 	76210417 	7471 	4353481398 	419116 
2022-08-02	271 	30813 	81394059 	8088 	4434875457 	427204 
2022-08-03	84 	9442 	24216497 	2335 	4459091954 	429539 
2022-08-04	89 	9962 	23455320 	2285 	4482547274 	431824 
2022-08-05	94 	10265 	27421500 	2517 	4509968774 	434341 
