날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2022-07-20	4508 	587387 	1415051698 	146908 	1431483698 	148220 
2022-07-21	4580 	601658 	811522995 	84872 	2243006693 	233092 
2022-07-22	4875 	643083 	1017616524 	101602 	3260623217 	334694 
2022-07-23	6051 	828358 	2537243005 	253053 	5797866222 	587747 
2022-07-24	5955 	822457 	2461263379 	245727 	8259129601 	833474 
2022-07-25	5028 	700614 	759526254 	79797 	9018655855 	913271 
2022-07-26	4966 	692622 	742681587 	79219 	9761337442 	992490 
2022-07-27	2753 	330757 	770941410 	91438 	10532278852 	1083928 
2022-07-28	2509 	308005 	750752354 	80640 	11283031206 	1164568 
2022-07-29	2733 	335964 	893411562 	91304 	12176442768 	1255872 
2022-07-30	3039 	376242 	1273037950 	125938 	13449480718 	1381810 
2022-07-31	3006 	370203 	1242390989 	123208 	14691871707 	1505018 
2022-08-01	2831 	355782 	904002128 	97208 	15595873835 	1602226 
2022-08-02	2837 	355296 	843554512 	90863 	16439428347 	1693089 
2022-08-03	1536 	183906 	527704718 	56933 	16967133065 	1750022 
2022-08-04	1563 	187548 	412967378 	44861 	17380100443 	1794883 
2022-08-05	1595 	193413 	413915957 	43092 	17794016400 	1837975 
