날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2008-04-14	2 	600 	4284000 	612 	4284000 	612 
2008-04-23	1 	138 	966000 	138 	5250000 	750 
2008-04-28	1 	188 	1316000 	188 	6566000 	938 
2008-04-29	9 	2024 	12894000 	1842 	19460000 	2780 
2008-04-30	2823 	649016 	977191000 	152797 	996651000 	155577 
2008-05-01	2922 	664247 	1502173500 	236496 	2498824500 	392073 
2008-05-02	2936 	677383 	1091154000 	167669 	3589978500 	559742 
2008-05-03	3192 	729629 	2267922500 	346788 	5857901000 	906530 
2008-05-04	3165 	714875 	2665702000 	407586 	8523603000 	1314116 
2008-05-05	3155 	700015 	2996416000 	466425 	11520019000 	1780541 
2008-05-06	2757 	641252 	629239000 	100843 	12149258000 	1881384 
2008-05-07	2740 	640448 	553638000 	87942 	12702896000 	1969326 
2008-05-08	2463 	528745 	475715000 	75707 	13178611000 	2045033 
2008-05-09	2605 	566851 	821912500 	128870 	14000523500 	2173903 
2008-05-10	2968 	651788 	1906682500 	294331 	15907206000 	2468234 
2008-05-11	3002 	659394 	2167798000 	329120 	18075004000 	2797354 
2008-05-12	2853 	629433 	1988646500 	305317 	20063650500 	3102671 
2008-05-13	2464 	552226 	390230500 	61284 	20453881000 	3163955 
2008-05-14	2467 	554766 	360349000 	55770 	20814230000 	3219725 
2008-05-15	2196 	458510 	416952000 	65951 	21231182000 	3285676 
2008-05-16	2298 	477297 	435933000 	65076 	21667115000 	3350752 
2008-05-17	2551 	529339 	1218477000 	187952 	22885592000 	3538704 
2008-05-18	2399 	496900 	1156482500 	174006 	24042074500 	3712710 
2008-05-19	2199 	458761 	268342000 	41334 	24310416500 	3754044 
2008-05-20	2171 	451017 	247836000 	38507 	24558252500 	3792551 
2008-05-21	2155 	447848 	246361500 	37998 	24804614000 	3830549 
2008-05-22	1518 	263014 	132632500 	20445 	24937246500 	3850994 
2008-05-23	1633 	283489 	210429500 	31464 	25147676000 	3882458 
2008-05-24	1745 	295149 	626134500 	96590 	25773810500 	3979048 
2008-05-25	1650 	276628 	547276500 	83434 	26321087000 	4062482 
