날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2022-07-27	10631 	1686842 	3279668746 	386161 	3449890246 	401095 
2022-07-28	10191 	1640604 	2392993676 	236943 	5842883922 	638038 
2022-07-29	10243 	1653408 	3378221252 	315487 	9221105174 	953525 
2022-07-30	10338 	1656870 	7129744897 	660875 	16350850071 	1614400 
2022-07-31	10095 	1619729 	7043551621 	655701 	23394401692 	2270101 
2022-08-01	9636 	1568214 	3864072934 	385984 	27258474626 	2656085 
2022-08-02	9659 	1573610 	3418297205 	340707 	30676771831 	2996792 
2022-08-03	6022 	913874 	2290748101 	235500 	32967519932 	3232292 
2022-08-04	6037 	918581 	2034590528 	209349 	35002110460 	3441641 
2022-08-05	6343 	960818 	2565545184 	250627 	37567655644 	3692268 
