스크린수	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
1	1	624	9,360,000	624	9,360,000	624
2,760	12,544	2,039,252	9,678,989,600	1,338,729	9,688,349,600	1,339,353
2,759	12,337	2,013,041	7,148,951,550	832,180	16,837,301,150	2,171,533
2,796	12,831	2,084,448	9,735,827,020	1,046,691	26,573,128,170	3,218,224
2,835	13,397	2,158,840	14,970,007,600	1,662,469	41,543,135,770	4,880,693
2,833	13,055	2,108,001	12,812,523,680	1,427,355	54,355,659,450	6,308,048
2,794	12,415	2,008,497	4,099,535,220	471,789	58,455,194,670	6,779,837
2,802	12,584	2,038,658	4,742,333,860	551,321	63,197,528,530	7,331,158
2,508	11,104	1,855,146	7,425,056,550	911,374	70,622,585,080	8,242,532
2,458	10,630	1,780,158	3,212,715,990	376,822	73,835,301,070	8,619,354
2,490	11,045	1,845,496	5,164,106,910	567,060	78,999,407,980	9,186,414
2,443	10,623	1,791,889	8,137,198,240	899,865	87,136,606,220	10,086,279
2,430	10,486	1,770,323	7,892,294,930	866,036	95,028,901,150	10,952,315
2,384	9,958	1,691,751	5,723,056,700	639,357	100,751,957,850	11,591,672
2,320	9,295	1,573,192	1,450,057,710	164,346	102,202,015,560	11,756,018
2,167	8,662	1,495,810	1,085,222,000	120,161	103,287,237,560	11,876,179
1,677	6,393	1,149,998	975,749,060	110,547	104,262,986,620	11,986,726
1,702	6,562	1,177,811	1,577,040,950	167,809	105,840,027,570	12,154,535
1,687	6,557	1,173,130	3,266,295,450	354,219	109,106,323,020	12,508,754
1,665	6,308	1,128,727	2,662,203,710	290,778	111,768,526,730	12,799,532
1,537	5,771	1,045,010	738,237,210	82,378	112,506,763,940	12,881,910
1,545	5,639	1,026,149	623,285,230	69,900	113,130,049,170	12,951,810
936	3,056	514,769	544,258,900	62,153	113,674,308,070	13,013,963
887	2,841	484,961	460,077,350	50,837	114,134,385,420	13,064,800
891	2,894	487,694	709,870,250	73,269	114,844,255,670	13,138,069
958	3,024	491,873	1,600,761,920	169,574	116,445,017,590	13,307,643
956	2,971	485,140	1,360,038,530	145,997	117,805,056,120	13,453,640
845	2,668	446,387	374,520,120	41,642	118,179,576,240	13,495,282
854	2,644	444,752	328,284,600	36,047	118,507,860,840	13,531,329
698	2,205	372,635	330,876,580	35,466	118,838,737,420	13,566,795
519	1,103	160,936	205,602,340	22,425	119,044,339,760	13,589,220
543	1,185	168,807	309,539,180	31,296	119,353,878,940	13,620,516
615	1,328	184,187	651,381,840	69,510	120,005,260,780	13,690,026
604	1,278	175,677	542,835,530	58,990	120,548,096,310	13,749,016
553	1,227	173,784	201,585,780	21,943	120,749,682,090	13,770,959
557	1,205	169,929	165,592,030	18,890	120,915,274,120	13,789,849
309	525	65,864	97,807,010	15,369	121,013,081,130	13,805,218
175	231	28,941	44,288,450	5,452	121,057,369,580	13,810,670
173	231	27,828	73,063,280	8,196	121,130,432,860	13,818,866
158	207	23,921	114,133,860	13,071	121,244,566,720	13,831,937
155	208	24,096	103,358,010	11,972	121,347,924,730	13,843,909
168	237	28,234	40,915,800	5,067	121,388,840,530	13,848,976
172	238	29,354	41,178,960	5,092	121,430,019,490	13,854,068
74	98	12,002	23,517,850	2,888	121,453,537,340	13,856,956
53	70	7,737	45,311,150	5,247	121,498,848,490	13,862,203
52	74	7,928	35,741,130	4,137	121,534,589,620	13,866,340
59	80	9,112	43,765,040	4,979	121,578,354,660	13,871,319
57	79	8,938	35,305,710	4,011	121,613,660,370	13,875,330
69	93	11,008	15,707,520	1,932	121,629,367,890	13,877,262
66	90	10,402	13,224,830	1,607	121,642,592,720	13,878,869
53	80	8,791	9,575,010	1,168	121,652,167,730	13,880,037
57	80	9,242	9,875,280	1,189	121,662,043,010	13,881,226
55	81	9,570	14,648,350	1,617	121,676,691,360	13,882,843
54	78	9,186	23,968,430	2,670	121,700,659,790	13,885,513
55	76	8,905	20,768,300	2,300	121,721,428,090	13,887,813
53	76	9,242	10,643,110	1,275	121,732,071,200	13,889,088
54	79	9,640	11,008,110	1,322	121,743,079,310	13,890,410
39	56	6,608	7,475,910	893	121,750,555,220	13,891,303
30	39	4,112	5,805,300	720	121,756,360,520	13,892,023
32	43	5,235	8,683,590	933	121,765,044,110	13,892,956
31	41	4,744	14,762,730	1,611	121,779,806,840	13,894,567
26	37	4,395	11,414,960	1,272	121,791,221,800	13,895,839
47	81	18,387	32,111,500	2,966	121,823,333,300	13,898,805
46	78	18,563	29,293,980	2,608	121,852,627,280	13,901,413
35	56	15,975	25,150,780	2,244	121,877,778,060	13,903,657
35	57	16,059	26,270,540	2,265	121,904,048,600	13,905,922
32	56	16,426	34,284,280	2,976	121,938,332,880	13,908,898
35	60	16,694	58,532,280	5,271	121,996,865,160	13,914,169
34	58	16,484	51,649,040	4,590	122,048,514,200	13,918,759
18	21	2,369	5,054,870	594	122,053,569,070	13,919,353
8	10	743	1,329,630	166	122,054,898,700	13,919,519
9	11	867	2,917,690	355	122,057,816,390	13,919,874
9	11	867	3,420,480	421	122,061,236,870	13,920,295
8	10	763	3,540,900	378	122,064,777,770	13,920,673
10	13	1,214	6,154,460	707	122,070,932,230	13,921,380
9	13	1,207	6,115,360	710	122,077,047,590	13,922,090
12	15	1,294	3,868,740	477	122,080,916,330	13,922,567
11	14	1,278	3,861,910	479	122,084,778,240	13,923,046
11	15	1,329	3,725,240	462	122,088,503,480	13,923,508
10	13	1,475	4,000,190	493	122,092,503,670	13,924,001
11	14	1,517	5,377,940	583	122,097,881,610	13,924,584
10	15	1,689	8,261,320	937	122,106,142,930	13,925,521
10	15	1,689	8,748,540	986	122,114,891,470	13,926,507
11	15	1,970	3,973,680	483	122,118,865,150	13,926,990
10	15	1,911	4,213,930	502	122,123,079,080	13,927,492
9	12	1,164	2,972,500	363	122,126,051,580	13,927,855
9	12	1,180	3,170,940	385	122,129,222,520	13,928,240
9	12	1,180	3,561,910	394	122,132,784,430	13,928,634
9	13	1,234	5,576,680	635	122,138,361,110	13,929,269
9	13	1,234	5,222,320	615	122,143,583,430	13,929,884
10	17	1,862	3,145,130	383	122,146,728,560	13,930,267
10	17	1,862	3,439,040	422	122,150,167,600	13,930,689
10	17	1,769	2,997,080	367	122,153,164,680	13,931,056
9	16	1,719	2,904,620	361	122,156,069,300	13,931,417
10	18	1,997	3,334,040	363	122,159,403,340	13,931,780
