스크린수	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
1	1	262	2,358,000	262	2,358,000	262
1	1	628	10,228,000	628	12,586,000	890
2	2	422	3,846,000	422	16,432,000	1,312
1,128	4,508	587,387	1,415,051,698	146,908	1,431,483,698	148,220
1,199	4,580	601,658	811,532,995	84,872	2,243,016,693	233,092
1,233	4,875	643,083	1,017,616,524	101,602	3,260,633,217	334,694
1,394	6,051	828,358	2,537,243,005	253,053	5,797,876,222	587,747
1,385	5,955	822,457	2,461,263,379	245,727	8,259,139,601	833,474
1,157	5,028	700,614	759,526,254	79,797	9,018,665,855	913,271
1,162	4,966	692,622	742,681,587	79,219	9,761,347,442	992,490
901	2,753	330,757	770,954,410	91,439	10,532,301,852	1,083,929
954	2,509	308,005	750,754,354	80,640	11,283,056,206	1,164,569
