스크린수	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
1	1	414	3,758,000	414	3,758,000	414
7	7	1,665	14,989,000	1,661	18,747,000	2,075
3	3	592	5,864,000	592	24,611,000	2,667
16	17	3,699	36,507,000	3,695	61,118,000	6,362
3	3	1,065	14,577,000	1,065	75,695,000	7,427
1,959	8,507	1,383,016	1,606,975,118	158,157	1,682,670,118	165,584
1,878	7,700	1,259,497	1,181,679,860	115,656	2,864,349,978	281,240
1,829	7,546	1,232,591	1,410,083,101	131,529	4,274,433,079	412,769
1,688	6,967	1,126,951	2,751,630,973	253,707	7,026,064,052	666,476
1,674	6,661	1,070,990	2,657,431,029	246,789	9,683,495,081	913,265
1,524	6,113	976,269	852,036,713	82,903	10,535,531,794	996,168
1,525	5,999	963,183	732,264,286	71,696	11,267,796,080	1,067,864
734	2,167	293,919	513,911,247	63,171	11,781,707,327	1,131,035
732	1,969	259,746	393,086,726	39,114	12,174,794,053	1,170,149
