스크린수	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수
2	2	1,252	18,952,000	1,252	18,952,000	1,252
2	7	2,990	26,590,000	2,200	45,542,000	3,452
8	9	3,865	27,706,400	2,104	73,248,400	5,556
3	3	1,061	12,370,000	1,031	85,618,400	6,587
1	1	290	5,220,000	290	90,838,400	6,877
418	420	74,648	285,991,050	25,530	376,829,450	32,407
424	427	76,400	364,059,380	32,297	740,888,830	64,704
1	1	462	0	0	740,888,830	64,704
1,975	9,158	1,508,016	1,976,049,530	188,312	2,716,938,360	253,016
1,926	8,720	1,446,643	1,546,459,190	146,105	4,263,397,550	399,121
1,941	8,948	1,487,057	2,401,575,760	216,163	6,664,973,310	615,284
1,858	8,907	1,479,025	5,192,321,350	472,306	11,857,294,660	1,087,590
1,844	8,589	1,427,305	4,789,763,620	438,673	16,647,058,280	1,526,263
1,722	7,988	1,339,714	1,654,213,940	156,222	18,301,272,220	1,682,485
1,735	7,945	1,333,389	1,554,570,540	146,873	19,855,842,760	1,829,358
1,325	5,680	932,324	1,830,630,070	208,178	21,686,472,830	2,037,536
1,355	5,775	949,682	1,537,625,670	146,232	23,224,098,500	2,183,768
1,452	6,302	1,039,165	2,514,791,670	225,696	25,738,890,170	2,409,464
1,612	7,224	1,188,247	5,294,380,740	480,281	31,033,270,910	2,889,745
1,622	7,146	1,176,149	4,795,789,500	439,248	35,829,060,410	3,328,993
1,459	6,568	1,091,432	1,657,272,790	151,680	37,486,333,200	3,480,673
1,495	6,621	1,095,423	1,840,848,870	167,795	39,327,182,070	3,648,468
961	3,516	462,768	1,009,403,610	100,506	40,336,585,680	3,748,974
1,013	3,805	498,478	1,023,016,240	100,355	41,359,601,920	3,849,329
1,112	4,198	550,835	1,578,819,190	148,220	42,938,421,110	3,997,549
1,275	4,922	661,712	3,572,278,360	335,573	46,510,699,470	4,333,122
1,329	5,000	673,636	3,391,539,180	320,406	49,902,238,650	4,653,528
1,222	4,869	698,569	1,028,098,520	100,606	50,930,337,170	4,754,134
1,231	4,886	701,346	918,166,360	89,811	51,848,503,530	4,843,945
1,378	5,081	800,237	972,371,260	94,412	52,820,874,790	4,938,357
1,412	5,241	830,510	969,747,220	93,106	53,790,622,010	5,031,463
1,478	5,642	891,884	1,521,006,830	139,681	55,311,628,840	5,171,144
1,532	6,271	1,003,006	3,207,926,910	295,389	58,519,555,750	5,466,533
1,544	6,153	988,805	2,885,473,880	267,267	61,405,029,630	5,733,800
1,395	5,503	907,014	977,934,330	93,954	62,382,963,960	5,827,754
1,406	5,517	908,628	1,041,245,737	100,089	63,424,209,697	5,927,843
721	2,222	301,343	625,668,653	61,325	64,049,878,350	5,989,168
867	2,485	342,301	656,455,952	64,224	64,706,334,302	6,053,392
957	2,775	391,639	948,453,156	88,200	65,654,787,458	6,141,592
1,096	3,276	470,094	1,966,003,873	181,303	67,620,791,331	6,322,895
1,115	3,293	479,070	1,931,125,117	178,995	69,551,916,448	6,501,890
981	3,221	487,767	735,197,225	71,508	70,287,113,673	6,573,398
990	3,254	489,846	703,597,524	68,261	70,990,711,197	6,641,659
735	1,831	228,692	535,916,184	63,713	71,526,627,381	6,705,372
773	1,836	233,644	486,513,798	47,336	72,013,141,179	6,752,708
