document	label
다들 어떠셨나요? (영화 보고 오신 구독자님들 후기 댓글로 남겨주세요!!!! , 7월 27일 개봉!) !!공지!![오류 정정 공지 ㅜ]7:26에 나오는 '가토 요시아키'의 이미지에 가토 기요마사(加藤清正) 이미지가 들어갔습니다. 변명없이 제 불찰입니다. ㅜ 다음엔 자료를 더 확실히 체크하겠습니다.10:50 평양 >> 한양 , 구독 영화친구들에게 진심으로 고개를 숙이며, 더 잘 체크하겠습니다ㅜ	0
난중일기에 보면 장군은 시도때도 없이 자주 아파 드러누으신 경우가 많고 , 부하들 눈을 피해   하인집에 가셔서 엉엉 운적이 여러번 있으셨읍니다...정말 인간적으로 얼마나 전쟁수행이 힘들고 수장으로서 견디기 힘들었는지 가늠이 안됩니다...	1
영화를 보는 내내, 병사들의 피와 땀이 내 눈물로써 흘러 나왔고, 그들의 분노와 한이 내 몸의 닭살과 떨림으로써 표출되었으며, 이순신 장군의 전략과 거북선의 등장에 입을 다물지 못했습니다. 명량에 이은 두 번째 명작이 될 것을 확신해요 정말로	1
영화 자체도 명량보다 여러모로 업그레이드가 되어서 보기 좋았지만..칠천량 해전이라는 역사적 전투로 저들 대부분이 수장이 되어버렸다는 사실이 너무 마음이 아프더라고요	1
어제 저녁 영화로 한산을 보고 왔습니다 마지막 해전 부분도 정말 인상적이었지만 명량과 다르게 이순신 장군의 묵묵한 고뇌와 일본과의 전략싸움을 고독하게 풀어낸것이 인상깊더라고요.. 이순신님은 정말 대단한 명장이고 우리나라의 위인입니다..	1
이순신장군의 기개는 이미 명량부터 익히 높게보고있지만 더 눈에 들어오는건 옥택연과 김향기배우의 합심으로 왜군의 이야기를듣다 발각되고 그로인해 엄한 조선인들의 억울하게 죽게되어 살려달란소리가 더 가슴아팠습니다. 그만큼 눈에 띄지않는 조선인의 중간역활이 가장 크다고 봅니다. 그 사람들이 누군지도 이름도 남지않았지만 그들의 공을높이보고, 꼭 모든사람들이 공감했으면 좋겠습니다.	1
보통 적인 왜군이 조선을 일방적으로 개무시하다 무지성 돌격 후, 대포밥되는 케이스가 많았는데, 한산은 왜군쪽도 합리적으로 전략, 전술을 세우고 작전을 수행하는 등 '진짜 전쟁'을 수행하는 느낌이 나서 좋았음.	1
이순신 장군님에 대해서 까내리는 사람이 있어서 하는 말인데.. 저 시대때 함대함 함포사격을 주 전략으로 삼는다는것 자체가 시대를 앞서간 전투방식이었을 뿐만 아니라, 기동하실때마다 포작선(정찰선) 수십척을 미리 풀어서 적들의 동향을 살피게 하였고.. 수적 불리한 상황에서 항시 좋은 지리, 좋은 기후를 이용해 싸우셨고, 왜군의 세키부네, 안택선과 같이 속도 빠른 배들 상대로 상대적으로 매우느린 판옥선을 이용하여 유인작전도 여러번 펼치셨어요. 더군다나 지키기만 하신것이 아니라 본영에서 출항하여 전투하신게 훨씬 많은 상황에서의 26전 26승(기록마다 조금씩 상이하긴 하지만 26전 26승이 정배)은 정말 말도 안되는 전투결과라 생각합니다. 구국의 영웅임은 물론이고 역대 세계 탑급 해군지휘관임에는 분명합니다.	1
한산, 부산포, 노량, 명량, 옥포...뭐하나 영화같지않은 전투가 없고 매순간이 영화같은 삶을 사셨던 이순신 장군. 한반도 역사상 이런 인물은 그이전에도 이후에도 없지	1
보면서 입이 안다물어질만큼 재미있고 대단한 영화였음…해전 장면은 정말 내가 그 전투로 들어간것처럼 생생하게 전해져 왔음	1
